dateff,mktrf,smb,hml,rf,umd
19940228,-0.025500,0.028000,-0.015600,0.00210,-0.003000
19940331,-0.047800,-0.011400,0.015500,0.00270,-0.012700
19940429,0.006800,-0.009200,0.016600,0.00270,0.003900
19940531,0.005800,-0.021200,0.007000,0.00310,-0.021900
19940630,-0.030300,-0.004000,0.016700,0.00310,-0.008700
19940729,0.028200,-0.017600,0.005700,0.00280,0.001000
19940831,0.040100,0.014300,-0.025000,0.00370,0.015500
19940930,-0.023100,0.031100,-0.018400,0.00370,0.013100
19941031,0.013400,-0.022600,-0.016300,0.00380,0.014900
19941130,-0.040400,0.003100,-0.007300,0.00370,-0.001800
19941230,0.008600,0.001900,-0.000900,0.00440,0.034800
19950131,0.018000,-0.034400,0.025100,0.00420,-0.018100
19950228,0.036300,-0.006600,0.010900,0.00400,-0.003900
19950331,0.021900,-0.002100,-0.020800,0.00460,0.004300
19950428,0.021100,-0.004900,0.017000,0.00440,0.017900
19950531,0.029000,-0.025200,0.022700,0.00540,-0.004200
19950630,0.027200,0.031500,-0.025400,0.00470,0.029300
19950731,0.037200,0.020600,-0.015900,0.00450,0.025700
19950831,0.005500,0.013600,0.028100,0.00470,0.001600
19950929,0.033500,-0.022000,-0.000500,0.00430,0.029000
19951031,-0.015200,-0.038000,-0.005100,0.00470,0.041600
19951130,0.039600,-0.011100,0.005800,0.00420,-0.006800
19951229,0.010300,0.007200,0.001800,0.00490,0.025200
19960131,0.022600,-0.027300,0.004000,0.00430,0.005400
19960229,0.013300,0.017800,-0.010700,0.00390,0.005900
19960329,0.007300,0.015100,0.003600,0.00390,-0.018400
19960430,0.020600,0.052200,-0.040500,0.00460,-0.008800
19960531,0.023600,0.031900,-0.008900,0.00420,0.015400
19960628,-0.011400,-0.039900,0.023800,0.00400,0.009800
19960731,-0.059700,-0.043100,0.051400,0.00450,-0.001700
19960830,0.027700,0.024600,-0.007400,0.00410,0.000100
19960930,0.050100,-0.009800,-0.027000,0.00440,0.027000
19961031,0.008600,-0.044400,0.049400,0.00420,0.037900
19961129,0.062500,-0.040500,0.013900,0.00410,-0.023700
